form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komnungthangtampak015,mu,1.sg.2.sg.fut.aff,ka-na-mu-ang-che,ka-na-Σ-ang-che,ka+na+Σ+ang+che,k a n a Σ a ŋ tʃ e,k a + n a + Σ + a ŋ + tʃ e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak016,mu,1.sg.2.sg.fut.aff,ka-na-mu-ang,ka-na-Σ-ang,ka+na+Σ+ang,k a n a Σ a ŋ,k a + n a + Σ + a ŋ,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak017,mu,1.sg.2.pl.fut.aff,ka-na-mu-ang-chui,ka-na-Σ-ang-chui,ka+na+Σ+ang+chui,k a n a Σ a ŋ tʃ ui,k a + n a + Σ + a ŋ + tʃ ui,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak018,mu,1.sg.2.pl.fut.aff,kan-mung-chui,kan-Σng-chui,ka+n+Σ+ng+chui,k a n Σ ŋ tʃ ui,k a + n + Σ + ŋ + tʃ ui,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak019,mu,1.pl.excl.2.sg.fut.aff,kan-na-mu-ang-che,kan-na-Σ-ang-che,ka+n+na+Σ+ang+che,k a n n a Σ a ŋ tʃ e,k a + n + n a + Σ + a ŋ + tʃ e,formal,mult_exponence,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak020,mu,1.pl.excl.2.sg.fut.aff,kan-na-mung-che,kan-na-Σng-che,ka+n+na+Σ+ng+che,k a n n a Σ ŋ tʃ e,k a + n + n a + Σ + ŋ + tʃ e,informal,mult_exponence,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak021,mu,1.pl.excl.2.sg.fut.aff,kan-mu-sik-che,kan-Σ-sik-che,ka+n+Σ+sik+che,k a n Σ s i k tʃ e,k a + n + Σ + s i k + tʃ e,dialect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak022,mu,1.pl.excl.2.pl.fut.aff,kan-na-mu-ang-chui,kan-na-Σ-ang-chui,ka+n+na+Σ+ang+chui,k a n n a Σ a ŋ tʃ ui,k a + n + n a + Σ + a ŋ + tʃ ui,formal,mult_exponence,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak023,mu,1.pl.excl.2.pl.fut.aff,kan-na-mung-chui,kan-na-Σng-chui,ka+n+na+Σ+ng+chui,k a n n a Σ ŋ tʃ ui,k a + n + n a + Σ + ŋ + tʃ ui,informal,fusion; mult_exponence,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak024,mu,1.pl.excl.2.pl.fut.aff,kan-na-mu-ang-chei,kan-na-Σ-ang-chei,ka+n+na+Σ+ang+chei,k a n n a Σ a ŋ tʃ ei,k a + n + n a + Σ + a ŋ + tʃ ei,dialect_var,mult_exponence,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
